Voltages,Currents,V_errors,C_errors
0.013964843749999999,0.0,0.0008770959365434559,0.0
0.003222656249999999,6.34765625e-05,0.008458406895911125,3.406323166740943e-05
0.013964843749999999,4.8828125e-06,0.0008770959365434559,3.986799711561163e-06
0.013964843749999999,1.4648437499999998e-05,0.0031624143727085386,1.1960399134683484e-05
0.009667968749999999,5.3710937499999993e-05,0.009240779095455946,4.3854796827172784e-05
0.01611328125,0.0,0.0015191747252054728,0.0
0.01611328125,0.0,0.00662192910475183,0.0
0.015039062499999997,2.4414062499999998e-05,0.004883463498269675,1.9933998557805813e-05
0.00859375,5.859374999999999e-05,0.01034080858464389,4.7841596538733936e-05
0.031152343749999995,4.8828125e-06,0.0017541918730869107,3.986799711561162e-06
-0.020410156250000002,0.000205078125,0.023056114629174184,8.372279394278441e-05
0.0150390625,7.8125e-05,0.016733923945446247,5.1828396250295114e-05
0.04296875,0.0,0.0023205777240392737,0.0
0.045117187499999996,0.0,0.002631287809630369,0.0
0.038671875,9.765625e-06,0.007893863428891102,3.986799711561163e-06
0.03544921875,3.4179687499999996e-05,0.005477462368117249,2.7907597980928136e-05
0.055859374999999996,0.0,0.0023205777240392724,0.0
0.05263671875,0.0,0.004641155448078545,0.0
0.0537109375,9.765625e-06,0.001754191873086912,7.973599423122325e-06
0.0580078125,0.0,0.006961733172117818,0.0
0.06982421875,0.0,0.0023205777240392716,0.0
0.05908203125,2.4414062499999995e-05,0.009157150415233633,1.0548080563814876e-05
0.073046875,0.0,0.00175419187308691,0.0
0.07841796875,9.765625e-06,0.002320577724039272,7.973599423122325e-06
0.081640625,9.765625e-06,0.0017541918730869137,7.973599423122325e-06
0.07519531249999999,0.0,0.0076463451023661725,0.0
0.09130859375,0.0,0.000877095936543455,0.0
0.09130859375,9.765625e-06,0.00175419187308691,7.973599423122325e-06
0.09130859375,4.8828125e-06,0.001754191873086912,3.986799711561163e-06
0.0966796875,9.765625e-06,0.003038349450410944,7.973599423122324e-06
0.07949218749999999,7.32421875e-05,0.015517411164077144,4.833737762017415e-05
0.10097656249999999,0.0,0.0023205777240392707,0.0
0.10205078125,1.953125e-05,0.0023205777240392746,1.5947198846244647e-05
0.12353515625,4.8828125e-06,0.011503005367597598,3.986799711561162e-06
0.10849609374999998,0.0,0.000877095936543455,0.0
0.107421875,1.4648437499999998e-05,0.007016767492347645,1.1960399134683484e-05
0.11494140625,4.8828125e-06,0.0031624143727085365,3.986799711561162e-06
0.12031249999999999,9.765625e-06,0.003162414372708536,3.986799711561163e-06
0.12675781249999998,0.0,0.0023205777240392716,0.0
0.12246093749999999,9.765625e-06,0.0,3.986799711561163e-06
0.13427734375,4.8828125e-06,0.002320577724039281,3.986799711561162e-06
0.13642578125000002,0.0,0.0038231725511830867,0.0
0.12783203125,2.9296874999999996e-05,0.008366961972723122,2.3920798269366968e-05
0.141796875,4.8828125e-06,0.003038349450410944,3.986799711561163e-06
0.14501953125,1.4648437499999998e-05,0.005262575619260733,1.1960399134683484e-05
0.14931640625,0.0,0.00175419187308691,0.0
0.11386718749999998,4.882812500000001e-05,0.016244044068274913,3.406323166740943e-05
0.15468749999999998,0.0,0.001519174725205472,0.0
0.1568359375,1.953125e-05,0.0061396715558041885,1.594719884624465e-05
0.16220703125,0.0,0.0023205777240392737,0.0
0.1611328125,1.953125e-05,0.001519174725205472,1.594719884624465e-05
0.15791015625,9.765625e-06,0.002631287809630365,7.973599423122325e-06
0.1568359375,3.4179687499999996e-05,0.009282310896157091,2.790759798092814e-05
0.15898437499999998,4.8828125e-06,0.01119801129441607,3.986799711561163e-06
0.17402343749999996,4.8828125e-06,0.0015191747252054784,3.986799711561163e-06
0.17402343749999996,4.8828125e-06,0.0015191747252054784,3.986799711561163e-06
0.1439453125,0.00016113281249999998,0.015957361947052683,7.595873626027366e-05
0.17080078124999998,1.9531249999999997e-05,0.0040193585209485645,1.0548080563814874e-05
0.18369140625,4.8828125e-06,0.001519174725205472,3.986799711561163e-06
0.1890625,1.4648437499999998e-05,0.004641155448078549,1.1960399134683484e-05
0.193359375,4.8828125e-06,0.001519174725205472,3.986799711561162e-06
0.19873046875,0.0,0.0023205777240392685,0.0
0.176171875,1.953125e-05,0.00976692699653935,7.973599423122325e-06
0.1890625,2.4414062499999998e-05,0.007795799206635733,1.9933998557805813e-05
0.20625000000000002,1.953125e-05,0.004019358520948569,7.973599423122325e-06
0.20087890624999996,0.0,0.00779579920663573,0.0
0.20624999999999996,3.90625e-05,0.0066219291047518265,2.6143194017267272e-05
0.21699218750000002,2.4414062499999995e-05,0.0008770959365434588,1.0548080563814876e-05
0.22021484375,4.8828125e-06,0.0038231725511830867,3.986799711561162e-06
0.22021484375,0.0,0.0008770959365434588,0.0
0.23095703125,4.8828125e-06,0.0023205777240392685,3.986799711561163e-06
0.22880859374999998,1.953125e-05,0.001519174725205472,7.973599423122325e-06
0.22773437499999996,2.4414062499999998e-05,0.0008770959365434511,1.9933998557805813e-05
0.23203125,9.765625e-06,0.004019358520948571,7.973599423122325e-06
0.23740234375,0.0,0.0008770959365434588,0.0
0.23095703125,7.32421875e-05,0.011503005367597593,5.393242684173468e-05
0.24169921875,1.4648437499999998e-05,0.002631287809630369,1.1960399134683484e-05
0.2556640625,0.0,0.004883463498269672,0.0
0.25029296875,4.8828125e-06,0.0031624143727085425,3.986799711561163e-06
0.25888671874999997,4.8828125e-06,0.0031624143727085395,3.986799711561162e-06
0.262109375,0.0,0.0017541918730869023,0.0
0.25458984375,4.8828124999999996e-05,0.009240779095455948,3.9867997115611625e-05
